"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","29-Mar-2016","        669.60","        670.05","        682.00","        668.95","        672.15","        671.50","        674.29","    1966330","          1325875539.15","      39305","    1082449","         55.05"
"KOTAKBANK","EQ","30-Mar-2016","        671.50","        675.05","        686.50","        665.50","        684.60","        683.85","        677.12","    2827418","          1914498180.10","      92647","    1905894","         67.41"
"KOTAKBANK","EQ","31-Mar-2016","        683.85","        677.10","        694.90","        677.10","        682.95","        680.65","        683.49","    3982132","          2721739261.45","      74415","    2646068","         66.45"
"KOTAKBANK","EQ","01-Apr-2016","        680.65","        682.00","        686.65","        677.15","        678.10","        679.90","        680.69","    1470326","          1000838149.25","      59174","     774308","         52.66"
"KOTAKBANK","EQ","04-Apr-2016","        679.90","        681.50","        689.30","        674.25","        685.30","        687.30","        680.84","    2059957","          1402507904.70","      52460","    1388551","         67.41"
"KOTAKBANK","EQ","05-Apr-2016","        687.30","        684.00","        684.75","        664.75","        665.50","        668.75","        674.27","    2892523","          1950342657.80","      51208","    1902538","         65.77"
"KOTAKBANK","EQ","06-Apr-2016","        668.75","        669.00","        674.30","        664.30","        668.40","        668.00","        669.30","    1683758","          1126935130.25","      74449","    1083886","         64.37"
"KOTAKBANK","EQ","07-Apr-2016","        668.00","        667.00","        668.00","        655.50","        663.85","        662.50","        662.70","    1619424","          1073197836.05","      69714","     936678","         57.84"
"KOTAKBANK","EQ","08-Apr-2016","        662.50","        658.10","        670.40","        658.10","        665.10","        665.35","        665.57","    1007741","           670726939.45","      27284","     625166","         62.04"
"KOTAKBANK","EQ","11-Apr-2016","        665.35","        670.90","        674.95","        660.30","        669.85","        671.30","        667.55","    1990818","          1328970565.20","      42521","    1230445","         61.81"
"KOTAKBANK","EQ","12-Apr-2016","        671.30","        669.85","        682.05","        669.75","        682.00","        677.35","        676.66","    1185688","           802309328.25","      27167","     763606","         64.40"
"KOTAKBANK","EQ","13-Apr-2016","        677.35","        687.00","        699.95","        683.20","        690.65","        692.35","        692.81","    2437798","          1688936520.60","      49904","    1702339","         69.83"
"KOTAKBANK","EQ","18-Apr-2016","        692.35","        691.10","        691.10","        657.70","        683.00","        683.35","        681.49","    1638201","          1116413372.05","      50623","     851676","         51.99"
"KOTAKBANK","EQ","20-Apr-2016","        683.35","        687.40","        692.00","        680.20","        685.60","        687.15","        686.71","    1087651","           746905495.00","      39154","     665477","         61.18"
"KOTAKBANK","EQ","21-Apr-2016","        687.15","        689.00","        689.60","        683.15","        685.55","        686.70","        686.04","    2137424","          1466350325.30","      41638","    1509768","         70.63"
"KOTAKBANK","EQ","22-Apr-2016","        686.70","        680.05","        683.75","        672.95","        678.40","        676.10","        678.81","    1975006","          1340648128.05","      37058","    1492372","         75.56"
"KOTAKBANK","EQ","25-Apr-2016","        676.10","        671.10","        682.85","        671.10","        682.50","        680.45","        678.53","    1211689","           822169688.20","      26929","     833539","         68.79"
"KOTAKBANK","EQ","26-Apr-2016","        680.45","        679.95","        705.00","        678.85","        704.10","        700.85","        692.68","    2108459","          1460480325.80","      36778","    1347560","         63.91"
"KOTAKBANK","EQ","27-Apr-2016","        700.85","        702.40","        719.80","        701.00","        711.45","        712.50","        712.52","    1929112","          1374539943.45","      66441","    1112804","         57.68"
"KOTAKBANK","EQ","28-Apr-2016","        712.50","        715.00","        718.40","        698.50","        701.10","        701.45","        705.98","    1515244","          1069735747.40","      39303","     957955","         63.22"
"KOTAKBANK","EQ","29-Apr-2016","        701.45","        699.00","        719.35","        695.50","        715.85","        717.15","        711.13","    1490141","          1059682696.65","      33445","     795715","         53.40"
"KOTAKBANK","EQ","02-May-2016","        717.15","        714.20","        724.75","        712.10","        717.10","        718.20","        719.45","    1296560","           932808387.45","      25756","     697180","         53.77"
"KOTAKBANK","EQ","03-May-2016","        718.20","        719.00","        722.95","        699.00","        708.10","        707.45","        709.20","    1358193","           963232958.70","      36880","     676379","         49.80"
"KOTAKBANK","EQ","04-May-2016","        707.45","        706.05","        720.60","        704.80","        711.00","        712.65","        716.02","    2111368","          1511782755.80","      48736","    1457516","         69.03"
"KOTAKBANK","EQ","05-May-2016","        712.65","        713.90","        715.25","        704.05","        710.45","        709.15","        708.64","     975973","           691613792.55","      28322","     584071","         59.84"
"KOTAKBANK","EQ","06-May-2016","        709.15","        706.05","        710.00","        696.10","        703.45","        702.95","        701.34","     667263","           467981463.45","      22257","     324748","         48.67"
"KOTAKBANK","EQ","09-May-2016","        702.95","        703.00","        716.00","        702.90","        714.00","        713.85","        712.75","    1885335","          1343769265.35","      58420","    1292287","         68.54"
"KOTAKBANK","EQ","10-May-2016","        713.85","        717.75","        730.00","        711.40","        730.00","        722.85","        717.01","    1576803","          1130585612.25","      36417","     984522","         62.44"
"KOTAKBANK","EQ","11-May-2016","        722.85","        717.80","        737.00","        714.00","        730.40","        731.55","        730.08","    4117417","          3006054807.85","      92446","    1601722","         38.90"
"KOTAKBANK","EQ","12-May-2016","        731.55","        735.70","        743.75","        721.00","        726.60","        726.75","        734.10","    2785763","          2045032053.65","      65184","    1435747","         51.54"
"KOTAKBANK","EQ","13-May-2016","        726.75","        727.00","        728.90","        707.00","        708.50","        708.25","        714.81","    1429506","          1021818544.30","      51502","     799993","         55.96"
"KOTAKBANK","EQ","16-May-2016","        708.25","        708.10","        720.00","        703.00","        716.50","        718.25","        712.05","    2438969","          1736660606.45","      56985","    1553045","         63.68"
"KOTAKBANK","EQ","17-May-2016","        718.25","        719.00","        725.00","        708.00","        708.05","        708.90","        716.45","    2471677","          1770837719.25","      53755","    1674510","         67.75"
"KOTAKBANK","EQ","18-May-2016","        708.90","        708.00","        713.65","        700.25","        710.00","        708.90","        706.38","    1147912","           810861165.95","      39376","     583168","         50.80"
"KOTAKBANK","EQ","19-May-2016","        708.90","        708.25","        710.50","        701.65","        706.00","        706.05","        706.99","     964151","           681643648.65","      32489","     466655","         48.40"
"KOTAKBANK","EQ","20-May-2016","        706.05","        709.90","        710.70","        700.25","        701.50","        702.15","        705.58","     600500","           423699536.75","      27847","     199166","         33.17"
"KOTAKBANK","EQ","23-May-2016","        702.15","        706.00","        710.65","        701.00","        701.00","        703.15","        705.54","    1437987","          1014551794.05","      53362","     971028","         67.53"
"KOTAKBANK","EQ","24-May-2016","        703.15","        702.90","        702.95","        692.50","        698.05","        698.40","        697.14","    2068972","          1442353324.85","      45371","    1598504","         77.26"
"KOTAKBANK","EQ","25-May-2016","        698.40","        704.00","        715.50","        700.50","        714.85","        712.75","        710.50","    2907812","          2065987698.10","      65454","    2110594","         72.58"
"KOTAKBANK","EQ","26-May-2016","        712.75","        716.10","        739.00","        714.35","        734.00","        730.20","        723.92","    1936113","          1401591554.80","      40119","    1259224","         65.04"
"KOTAKBANK","EQ","27-May-2016","        730.20","        734.40","        744.65","        733.10","        738.10","        742.55","        738.55","    1293521","           955332114.35","      27224","     712640","         55.09"
"KOTAKBANK","EQ","30-May-2016","        742.55","        748.70","        754.50","        740.05","        741.00","        742.60","        745.71","     729005","           543627334.85","      23368","     323152","         44.33"
"KOTAKBANK","EQ","31-May-2016","        742.60","        743.30","        750.00","        739.50","        744.65","        746.55","        744.99","    1167685","           869913082.20","      22934","     719243","         61.60"
"KOTAKBANK","EQ","01-Jun-2016","        746.55","        749.75","        749.75","        740.40","        749.00","        745.35","        743.22","     918251","           682464783.85","      44881","     545237","         59.38"
"KOTAKBANK","EQ","02-Jun-2016","        745.35","        749.00","        750.00","        736.40","        745.95","        746.30","        742.62","    1605981","          1192633481.35","      45991","     916820","         57.09"
"KOTAKBANK","EQ","03-Jun-2016","        746.30","        750.00","        772.45","        743.10","        769.00","        769.30","        762.71","    2480775","          1892111810.10","      46213","    1573014","         63.41"
"KOTAKBANK","EQ","06-Jun-2016","        769.30","        770.10","        775.00","        762.55","        764.60","        765.25","        767.59","    1157650","           888599801.85","      31442","     694299","         59.97"
"KOTAKBANK","EQ","07-Jun-2016","        765.25","        770.00","        778.85","        760.85","        769.15","        772.05","        772.20","    1857761","          1434556231.05","      51109","    1239973","         66.75"
"KOTAKBANK","EQ","08-Jun-2016","        772.05","        768.10","        770.00","        755.00","        759.40","        759.35","        759.23","    1227612","           932034782.30","      30725","     743169","         60.54"
"KOTAKBANK","EQ","09-Jun-2016","        759.35","        761.90","        761.90","        750.10","        754.30","        752.75","        753.99","    1301396","           981243376.95","      42354","     844032","         64.86"
"KOTAKBANK","EQ","10-Jun-2016","        752.75","        751.10","        757.50","        743.35","        750.00","        750.70","        750.56","    1510634","          1133822572.15","      49062","     980274","         64.89"
"KOTAKBANK","EQ","13-Jun-2016","        750.70","        746.00","        757.45","        745.00","        753.10","        755.90","        749.93","    1629842","          1222262501.10","      32062","    1135991","         69.70"
